GRAPH,CAT,ORTH,LEM
# état,,État,
suisse,NAME,,Suisse
suisses,NAME,,Suisse
Suisses,NAME,,Suisse
Suisses,NAME,,Suisse
allemand,NAME,,Allemagne
allemande,NAME,,Allemagne
allemands,NAME,,Allemagne
allemandes,NAME,,Allemagne
Allemand,NAME,,Allemagne
Allemands,NAME,,Allemagne
Allemandes,NAME,,Allemagne
Français,NAME,,France
Française,NAME,,France
Françaises,NAME,,France
français,NAME,,France
française,NAME,,France
françaises,NAME,,France
Espagnol,NAME,,Espagne
Espagnols,NAME,,Espagne
espagnol,NAME,,Espagne
espagnole,NAME,,Espagne
espagnols,NAME,,Espagne
espagnoles,NAME,,Espagne
anglais,NAME,,Grande-Bretagne
anglaise,NAME,,Grande-Bretagne
anglaises,NAME,,Grande-Bretagne
Angleterre,NAME,,Grande-Bretagne
hollandais,NAME,,Pays-Bas
hollandaise,NAME,,Pays-Bas
hollandaises,NAME,,Pays-Bas
italien,NAME,,Italie
italiens,NAME,,Italie
italienne,NAME,,Italie
italiennes,NAME,,Italie
belge,NAME,,Belgique
belges,NAME,,Belgique
américain,NAME,,États-Unis
américains,NAME,,États-Unis
américaine,NAME,,États-Unis
américaines,NAME,,États-Unis
Amérique,NAME,,États-Unis
États-Unis d’Amérique,NAME,États-Unis,
Club de Rome,NAMEorg,,
club de Rome,NAMEorg,Club de Rome,
Club des Jacobins,NAMEorg,,
club des Jacobins,NAMEorg,Club des Jacobins,
je,PROpers,,je
me,PROpers,,je
moi,PROpers,,je
mon,PROpers,,je
ma,PROpers,,je
mes,PROpers,,je
mien,PROpers,,je
le mien,PROpers,,je
les miens,PROpers,,je
tu,PROpers,,tu
te,PROpers,,tu
toi,PROpers,,tu
ton,PROpers,,tu
ta,PROpers,,tu
tes,PROpers,,tu
tien,PROpers,,tu
le tien,PROpers,,tu
les tiens,PROpers,,tu
nos,PROpers,,nous
notre,PROpers,,nous
nôtre,PROpers,,nous
le nôtre,PROpers,,nous
les nôtres,PROpers,,nous
vos,PROpers,,vous
votre,PROpers,,vous
vôtre,PROpers,,vous
le vôtre,PROpers,,vous
les vôtres,PROpers,,vous
Middle West,NAMEplace,,
de Man,NAME,,
de man,NAME,de Man,
New Yorker,NAMEtitle,,
New Deal,NAME,,
New Scientist,NAMEtitle,,
New Jersey,NAMEtitle,,
centre européen de la culture,NAMEorg,CEC,
Centre européen de la culture,NAMEorg,CEC,
Cec,NAMEorg,CEC,
personnaliste,SUB,,personnalisme
personnalistes,SUB,,personnalisme
communiste,SUB,,communisme
communistes,SUB,,communisme
fascismes,SUB,,fascisme
fasciste,SUB,,fascisme
fascistes,SUB,,fascisme
fédéralistes,SUB,,fédéralisme
fédéraliste,SUB,,fédéralisme
Nicolas de Flue,NAMEpers,,
Gonzague de Reynold,NAMEpers,Reynold,
G. de Reynold,NAMEpers,Reynold,
Bertrand de Jouvenel,NAMEpers,Jouvenel,
B. de Jouvenel,NAMEpers,Jouvenel,
Guillaume d’Orange,NAMEpers,,
hégélien,NAME,,Hegel
hegelien,NAME,,Hegel
hegeliens,NAME,,Hegel
marxisme,NAME,,Marx
marxisme,NAME,,Marx
marxiste,NAME,,Marx
marxistes,NAME,,Marx
Karl Marx,NAME,Marx,
Illich,NAME,Ivan Illich,
Europæ,NAME,Europe,
Europé,NAME,Europe,
russe,NAME,,Russie
russes,NAME,,Russie
Russe,NAME,,Russie
Russes,NAME,,Russie
Édit,NAME,Édit de Nantes,
Édit de Nantes,NAMEevent,,
édit de Nantes,NAMEevent,Édit de Nantes,
O.N.,NAMEtitle,L’Ordre nouveau,
l’O.N.,NAMEtitle,L’Ordre nouveau,
l’Ordre nouveau,NAMEtitle,L’Ordre nouveau,
l’ordre nouveau,NAMEtitle,L’Ordre nouveau,
ordre nouveau,NAMEtitle,L’Ordre nouveau,
colonel de la Rocque,NAME,,
de la Rocque,NAME,colonel de la Rocque,
Messageries,NAMEorg,,
Front national,NAMEorg,,
Front populaire,NAMEorg,,
Hic et Nunc,NAMEtitle,,
Hic et nunc,NAMEtitle,Hic et Nunc,
Nrf,NAMEtitle,NRF,
nrf,NAMEtitle,NRF,
NRF,NAMEtitle,,
Revue de Belles-Lettres,NAMEtitle,,
Belles-Lettres,NAMEtitle,Revue de Belles-Lettres,
Tell,NAMEpers,Guillaume Tell,
genre humain,SUB,,
Marché commun,NAMEorg,,
marché commun,NAMEorg,Marché commun,
hommes d’État,SUB,homme d’État,
homme d’État,SUB,,
Opinion Publique,SUB,opinion publique,
opinion Publique,SUB,,
centrale nucléaire,SUB,,
centrales nucléaires,SUB,centrale nucléaire,
instruction publique,SUB,,
droits de l’homme,SUB,,
Droits de l’homme,SUB,droits de l’homme,
Conseil fédéral,NAMEorg,,
école primaire,SUB,,
écoles primaires,SUB,,école primaire
Révolution française,NAMEevent,,
carte postale,SUB,,
cartes postales,SUB,carte postale,
Suisse romande,NAME,,
de nouveau,ADV,,
à nouveau,ADV,,
mode de vie,SUB,,
modes de vie,SUB,mode de vie,
sens critique,SUB,,
penser avec les mains,NAMEtitle,Penser avec les mains,
Penser avec les mains,NAMEtitle,,
Conseil de l’Europe,NAMEorg,,
conseil de l’Europe,NAMEorg,Conseil de l’Europe,
Europe,NAMEorg,,
européen,NAMEorg,,Europe
européens,NAMEorg,,Europe
européenne,NAMEorg,,Europe
européennes,NAMEorg,,Europe
Communauté européenne,NAMEorg,,
Communauté économique européenne,NAMEorg,CEE,
Communauté européenne du charbon et de l’acier,NAMEorg,CECA,
Communauté européenne de défense,NAMEorg,CED,
Communauté européenne des guildes et clubs du livre,NAMEorg,,
Congrès de La Haye,NAMEevent,,
congrès de La Haye,NAMEevent,Congrès de La Haye,
Nations unies,NAMEorg,ONU,
les Nations unies,NAMEorg,ONU,
